line,filename,tool,target,type,num_configs,classification,variability,features,common_fail,common_pass,ID,manual_features,num_manual_features,Variability implementation,Source of Variability
159,id.c,clang,toybox_0_7_5,Memory error,478,TRUE,TRUE,#NAME?,"CONFIG_TOYBOX_SELINUX,-CONFIG_TOYBOX_FREE,-CONFIG_TOYBOX_LSM_NONE,",,#VALUE!,CONFIG_ID,1,Makefile,Makefile
218,lib_xwrap.c,clang,toybox_0_7_5,Security,1000,TRUE,FALSE,generic,"-CONFIG_LOGGER,-CONFIG_DHCP6,-CONFIG_USERADD,-CONFIG_OPENVT,-CONFIG_WATCH,-CONFIG_MDEV_CONF,-CONFIG_IPCS,-CONFIG_GZIP,-CONFIG_MORE,-CONFIG_GUNZIP,-CONFIG_DIFF,-CONFIG_DECOMPRESS,-CONFIG_ARP,-CONFIG_HOST,-CONFIG_FOLD,-CONFIG_GETFATTR,-CONFIG_SETFATTR,-CONFIG_TRACEROUTE,-CONFIG_TEST,-CONFIG_TFTP,-CONFIG_FDISK,-CONFIG_EXPR,-CONFIG_WGET,-CONFIG_IP,-CONFIG_VI,-CONFIG_SULOGIN,-CONFIG_GROUPADD,-CONFIG_TELNET,-CONFIG_CRONTAB,-CONFIG_BRCTL,-CONFIG_LAST,-CONFIG_MKE2FS_EXTENDED,-CONFIG_MKE2FS,-CONFIG_TFTPD,-CONFIG_DHCPD,-CONFIG_KLOGD,-CONFIG_DEBUG_DHCP,-CONFIG_CROND,-CONFIG_BOOTCHARTD,-CONFIG_INIT,-CONFIG_DEALLOCVT,-CONFIG_ICONV,-CONFIG_MKE2FS_JOURNAL,-CONFIG_MODPROBE,-CONFIG_MKE2FS_LABEL,-CONFIG_XZCAT,-CONFIG_KLOGD_SOURCE_RING_BUFFER,-CONFIG_TOYBOX_UID_SYS,-CONFIG_TAR,-CONFIG_PING,-CONFIG_COMPRESS,-CONFIG_TELNETD,-CONFIG_FSCK,-CONFIG_TOYBOX_UID_USR,-CONFIG_MDEV,-CONFIG_TR,-CONFIG_DHCP,-CONFIG_GROUPDEL,-CONFIG_DD,-CONFIG_ZCAT,-CONFIG_DUMPLEASES,-CONFIG_ROUTE,-CONFIG_LSOF,-CONFIG_USERDEL,-CONFIG_SH,-CONFIG_IPCRM,-CONFIG_MKE2FS_GEN,-CONFIG_GETTY,-CONFIG_TCPSVD,-CONFIG_SYSLOGD,-CONFIG_TOYBOX_SMACK,-CONFIG_ARPING,",,#VALUE!,generic,0,,N/A
64,losetup.c,clang,toybox_0_7_5,Logic error,536,TRUE,TRUE,CONFIG_LOSETUP,"CONFIG_LOSETUP,","-CONFIG_LOSETUP,",#VALUE!,CONFIG_LOSETUP,1,Makefile,Makefile
178,netcat.c,clang,toybox_0_7_5,Security,667,TRUE,TRUE,CONFIG_NETCAT,"CONFIG_NETCAT,","CONFIG_TOYBOX_SELINUX,-CONFIG_NETCAT,-CONFIG_TOYBOX_LSM_NONE,-CONFIG_NETCAT_LISTEN,",#VALUE!,CONFIG_NETCAT,1,Makefile,Makefile
186,netcat.c,clang,toybox_0_7_5,Logic error,298,TRUE,TRUE,CONFIG_NETCAT and CONFIG_NETCAT_LISTEN,"CONFIG_NETCAT,CONFIG_NETCAT_LISTEN,","-CONFIG_NETCAT_LISTEN,",#VALUE!,CONFIG_NETCAT and CONFIG_NETCAT_LISTEN,2,"CONFIG_NETCAT (Makefile), CONFIG_NETCAT_LISTEN (Unsure)",Makefile
60,oneit.c,clang,toybox_0_7_5,Security,516,TRUE,TRUE,CONFIG_ONEIT,"CONFIG_TOYBOX_SELINUX,CONFIG_ONEIT,-CONFIG_TOYBOX_LSM_NONE,","-CONFIG_ONEIT,",#VALUE!,CONFIG_ONEIT,1,Makefile,Makefile
82,oneit.c,clang,toybox_0_7_5,Security,516,TRUE,TRUE,CONFIG_ONEIT,"CONFIG_TOYBOX_SELINUX,CONFIG_ONEIT,-CONFIG_TOYBOX_LSM_NONE,","-CONFIG_ONEIT,",#VALUE!,CONFIG_ONEIT,1,Makefile,Makefile
22,setsid.c,clang,toybox_0_7_5,Logic error,497,TRUE,TRUE,CONFIG_SETSID,"CONFIG_SETSID,","-CONFIG_SETSID,",#VALUE!,CONFIG_SETSID,1,Makefile,Makefile
49,switch_root.c,clang,toybox_0_7_5,Logic error,493,TRUE,TRUE,CONFIG_SWITCH_ROOT,"CONFIG_SWITCH_ROOT,","-CONFIG_SWITCH_ROOT,",#VALUE!,CONFIG_SWITCH_ROOT,1,Makefile,Makefile
31,time.c,clang,toybox_0_7_5,Logic error,355,TRUE,TRUE,CONFIG_TOYBOX_FLOAT and -CONFIG_SORT_BIG and -CONFIG_SLEEP and CONFIG_TIME,"CONFIG_TOYBOX_FLOAT,-CONFIG_SORT_BIG,-CONFIG_SLEEP,CONFIG_TIME,","-CONFIG_TIME,",#VALUE!,CONFIG_TIME and CONFIG_TOYBOX_FLOAT,2,"CONFIG_TIME (Makefile), CONFIG_TOYBOX_FLOAT (Dependency)",Makefile+Dependency
66,timeout.c,clang,toybox_0_7_5,Logic error,355,TRUE,TRUE,CONFIG_TIMEOUT and CONFIG_TOYBOX_FLOAT and -CONFIG_SORT_BIG and -CONFIG_SLEEP,"CONFIG_TIMEOUT,CONFIG_TOYBOX_FLOAT,-CONFIG_SORT_BIG,-CONFIG_SLEEP,","-CONFIG_TIMEOUT,",#VALUE!,CONFIG_TIMEOUT and CONFIG_TOYBOX_FLOAT,2,"CONFIG_TIMEOUT (Makefile), CONFIG_TOYBOX_FLOAT (Dependency)",Makefile+Dependency
29,uudecode.c,clang,toybox_0_7_5,Logic error,494,TRUE,TRUE,CONFIG_UUDECODE,"CONFIG_UUDECODE,","-CONFIG_UUDECODE,CONFIG_TOYBOX_SELINUX,-CONFIG_TOYBOX_LSM_NONE,",#VALUE!,CONFIG_UUDECODE,1,Makefile,Makefile
51,vmstat.c,clang,toybox_0_7_5,Logic error,517,TRUE,TRUE,CONFIG_VMSTAT,"CONFIG_VMSTAT,","-CONFIG_VMSTAT,",#VALUE!,CONFIG_VMSTAT,1,Makefile,Makefile
184,xargs.c,clang,toybox_0_7_5,Logic error,675,TRUE,TRUE,CONFIG_XARGS,"CONFIG_XARGS,","-CONFIG_XARGS,-CONFIG_XARGS_PEDANTIC,",#VALUE!,CONFIG_XARGS,1,Makefile,Makefile
