Fri Oct 12 00:25:52 EDT 2018
processing ./loginutils/passwd.c
cli_file /mnt/scratch/paul/varbugs/output/busybox_1_28_0/535.config/loginutils/passwd.c.cli
Checking loginutils/add-remove-shell.c: ENABLE_FEATURE_INDIVIDUAL...
Checking loginutils/add-remove-shell.c: ENABLE_FEATURE_IPV6...
Checking loginutils/add-remove-shell.c: ENABLE_FEATURE_PREFER_APPLETS...
Checking loginutils/add-remove-shell.c: ENABLE_FEATURE_PS_ADDITIONAL_COLUMNS...
Checking loginutils/add-remove-shell.c: ENABLE_FEATURE_SHADOWPASSWDS...
Checking loginutils/add-remove-shell.c: ENABLE_FEATURE_SHADOWPASSWDS;ENABLE_USE_BB_SHADOW...
Checking loginutils/add-remove-shell.c: ENABLE_FEATURE_TOPMEM...
Checking loginutils/add-remove-shell.c: ENABLE_FEATURE_TOP_SMP_PROCESS...
Checking loginutils/add-remove-shell.c: ENABLE_FEATURE_UTMP...
Checking loginutils/add-remove-shell.c: ENABLE_FEATURE_UTMP;_PATH_UTMP...
Checking loginutils/add-remove-shell.c: ENABLE_FEATURE_UTMP;__UCLIBC_HAS_UTMPX__;__UCLIBC__...
Checking loginutils/add-remove-shell.c: ENABLE_FEATURE_UTMP;__UCLIBC__...
Checking loginutils/add-remove-shell.c: ENABLE_IOCTL_HEX2STR_ERROR...
Checking loginutils/add-remove-shell.c: ENABLE_LFS...
Checking loginutils/add-remove-shell.c: ENABLE_LOCALE_SUPPORT...
Checking loginutils/add-remove-shell.c: ENABLE_LONG_OPTS...
Checking loginutils/add-remove-shell.c: ENABLE_ROUTE...
Checking loginutils/add-remove-shell.c: ENABLE_SELINUX...
Checking loginutils/add-remove-shell.c: ENABLE_USE_BB_PWD_GRP...
Checking loginutils/add-remove-shell.c: HAVE_MNTENT_H...
Checking loginutils/add-remove-shell.c: HAVE_PRINTF_PERCENTM...
Checking loginutils/add-remove-shell.c: HAVE_SYS_STATFS_H...
Checking loginutils/add-remove-shell.c: HAVE_UNLOCKED_LINE_OPS...
Checking loginutils/add-remove-shell.c: HAVE_UNLOCKED_STDIO...
Checking loginutils/add-remove-shell.c: TASK_COMM_LEN...
Checking loginutils/add-remove-shell.c: UINT_MAX=0xffffffff...
Checking loginutils/add-remove-shell.c: UNUSED_FOR_NOW...
Checking loginutils/add-remove-shell.c: WANT_PIDFILE...
Checking loginutils/add-remove-shell.c: _BYTE_ORDER...
Checking loginutils/add-remove-shell.c: _NEWLIB_VERSION;__BIONIC__;__GLIBC__;__UCLIBC__;__dietlibc__...
Checking loginutils/add-remove-shell.c: _SC_ARG_MAX...
Checking loginutils/add-remove-shell.c: __386__...
Checking loginutils/add-remove-shell.c: __APPLE__...
Checking loginutils/add-remove-shell.c: __APPLE__;__FreeBSD__;__NetBSD__;__OpenBSD__...
Checking loginutils/add-remove-shell.c: __APPLE__;__NetBSD__;__OpenBSD__;__digital__;__unix__...
Checking loginutils/add-remove-shell.c: __BYTE_ORDER...
Checking loginutils/add-remove-shell.c: __CYGWIN__...
Checking loginutils/add-remove-shell.c: __FreeBSD__...
Checking loginutils/add-remove-shell.c: __FreeBSD__;__OpenBSD__...
Checking loginutils/add-remove-shell.c: __FreeBSD_kernel__...
Checking loginutils/add-remove-shell.c: __GLIBC__...
Checking loginutils/add-remove-shell.c: __GNUC_MINOR__;__GNUC__...
Checking loginutils/add-remove-shell.c: __GNU__...
Checking loginutils/add-remove-shell.c: __NetBSD__...
Checking loginutils/add-remove-shell.c: __STDC_VERSION__...
Checking loginutils/add-remove-shell.c: __UCLIBC__...
Checking loginutils/add-remove-shell.c: __WATCOMC__...
Checking loginutils/add-remove-shell.c: __cris__;__mips__;__x86_64__;i386...
Checking loginutils/add-remove-shell.c: __dietlibc__...
Checking loginutils/add-remove-shell.c: __digital__;__unix__...
Checking loginutils/add-remove-shell.c: __linux__...
Checking loginutils/add-remove-shell.c: __powerpc__;__x86_64__;i386...
Checking loginutils/add-remove-shell.c: i386...
processing ./loginutils/sulogin.c
cli_file /mnt/scratch/paul/varbugs/output/busybox_1_28_0/368.config/loginutils/sulogin.c.cli
Checking loginutils/sulogin.c ...
Checking loginutils/sulogin.c: AF_NETLINK...
Checking loginutils/sulogin.c: AF_PACKET...
Checking loginutils/sulogin.c: ANDROID;__ANDROID__...
Checking loginutils/sulogin.c: ARG_MAX...
Checking loginutils/sulogin.c: BB_MMU...
Checking loginutils/sulogin.c: BYTE_ORDER...
Checking loginutils/sulogin.c: CONFIG_FEATURE_EDITING_HISTORY;ENABLE_FEATURE_EDITING...
Checking loginutils/sulogin.c: DMALLOC...
Checking loginutils/sulogin.c: ENABLE_DESKTOP...
Checking loginutils/sulogin.c: ENABLE_FEATURE_BUFFERS_GO_IN_BSS...
Checking loginutils/sulogin.c: ENABLE_FEATURE_BUFFERS_GO_ON_STACK...
Checking loginutils/sulogin.c: ENABLE_FEATURE_CHECK_NAMES...
Checking loginutils/sulogin.c: ENABLE_FEATURE_DEVFS...
Checking loginutils/sulogin.c: ENABLE_FEATURE_EDITING...
Checking loginutils/sulogin.c: ENABLE_FEATURE_EDITING;ENABLE_FEATURE_EDITING_SAVEHISTORY...
Checking loginutils/sulogin.c: ENABLE_FEATURE_EDITING;ENABLE_FEATURE_EDITING_SAVE_ON_EXIT...
Checking loginutils/sulogin.c: ENABLE_FEATURE_HWIB...
Checking loginutils/sulogin.c: ENABLE_FEATURE_INDIVIDUAL...
Checking loginutils/sulogin.c: ENABLE_FEATURE_IPV6...
Checking loginutils/sulogin.c: ENABLE_FEATURE_PREFER_APPLETS...
Checking loginutils/sulogin.c: ENABLE_FEATURE_PS_ADDITIONAL_COLUMNS...
Checking loginutils/sulogin.c: ENABLE_FEATURE_SHADOWPASSWDS...
Checking loginutils/sulogin.c: ENABLE_FEATURE_SHADOWPASSWDS;ENABLE_USE_BB_SHADOW...
Checking loginutils/sulogin.c: ENABLE_FEATURE_TOPMEM...
Checking loginutils/sulogin.c: ENABLE_FEATURE_TOP_SMP_PROCESS...
Checking loginutils/sulogin.c: ENABLE_FEATURE_UTMP...
Checking loginutils/sulogin.c: ENABLE_FEATURE_UTMP;_PATH_UTMP...
Checking loginutils/sulogin.c: ENABLE_FEATURE_UTMP;__UCLIBC_HAS_UTMPX__;__UCLIBC__...
Checking loginutils/sulogin.c: ENABLE_FEATURE_UTMP;__UCLIBC__...
Checking loginutils/sulogin.c: ENABLE_IOCTL_HEX2STR_ERROR...
Checking loginutils/sulogin.c: ENABLE_LFS...
Checking loginutils/sulogin.c: ENABLE_LOCALE_SUPPORT...
Checking loginutils/sulogin.c: ENABLE_LONG_OPTS...
Checking loginutils/sulogin.c: ENABLE_ROUTE...
Checking loginutils/sulogin.c: ENABLE_SELINUX...
Checking loginutils/sulogin.c: ENABLE_USE_BB_PWD_GRP...
Checking loginutils/sulogin.c: HAVE_MNTENT_H...
Checking loginutils/sulogin.c: HAVE_PRINTF_PERCENTM...
Checking loginutils/sulogin.c: HAVE_SYS_STATFS_H...
Checking loginutils/sulogin.c: HAVE_UNLOCKED_LINE_OPS...
Checking loginutils/sulogin.c: HAVE_UNLOCKED_STDIO...
Checking loginutils/sulogin.c: TASK_COMM_LEN...
Checking loginutils/sulogin.c: UINT_MAX=0xffffffff...
Checking loginutils/sulogin.c: UNUSED_FOR_NOW...
Checking loginutils/sulogin.c: WANT_PIDFILE...
Checking loginutils/sulogin.c: _BYTE_ORDER...
Checking loginutils/sulogin.c: _NEWLIB_VERSION;__BIONIC__;__GLIBC__;__UCLIBC__;__dietlibc__...
Checking loginutils/sulogin.c: _SC_ARG_MAX...
Checking loginutils/sulogin.c: __386__...
Checking loginutils/sulogin.c: __APPLE__...
Checking loginutils/sulogin.c: __APPLE__;__FreeBSD__;__NetBSD__;__OpenBSD__...
Checking loginutils/sulogin.c: __APPLE__;__NetBSD__;__OpenBSD__;__digital__;__unix__...
Checking loginutils/sulogin.c: __BYTE_ORDER...
Checking loginutils/sulogin.c: __CYGWIN__...
Checking loginutils/sulogin.c: __FreeBSD__...
Checking loginutils/sulogin.c: __FreeBSD__;__OpenBSD__...
Checking loginutils/sulogin.c: __FreeBSD_kernel__...
Checking loginutils/sulogin.c: __GLIBC__...
Checking loginutils/sulogin.c: __GNUC_MINOR__;__GNUC__...
Checking loginutils/sulogin.c: __GNU__...
Checking loginutils/sulogin.c: __NetBSD__...
Checking loginutils/sulogin.c: __STDC_VERSION__...
Checking loginutils/sulogin.c: __UCLIBC__...
Checking loginutils/sulogin.c: __WATCOMC__...
Checking loginutils/sulogin.c: __cris__;__mips__;__x86_64__;i386...
Checking loginutils/sulogin.c: __dietlibc__...
Checking loginutils/sulogin.c: __digital__;__unix__...
Checking loginutils/sulogin.c: __linux__...
Checking loginutils/sulogin.c: __powerpc__;__x86_64__;i386...
Checking loginutils/sulogin.c: i386...
processing ./loginutils/chpasswd.c
cli_file /mnt/scratch/paul/varbugs/output/busybox_1_28_0/944.config/loginutils/chpasswd.c.cli
Checking loginutils/chpasswd.c ...
Checking loginutils/chpasswd.c: AF_NETLINK...
Checking loginutils/chpasswd.c: AF_PACKET...
Checking loginutils/chpasswd.c: ANDROID;__ANDROID__...
Checking loginutils/chpasswd.c: ARG_MAX...
Checking loginutils/chpasswd.c: BB_MMU...
Checking loginutils/chpasswd.c: BYTE_ORDER...
Checking loginutils/chpasswd.c: CONFIG_FEATURE_EDITING_HISTORY;ENABLE_FEATURE_EDITING...
Checking loginutils/chpasswd.c: DMALLOC...
Checking loginutils/chpasswd.c: ENABLE_DESKTOP...
Checking loginutils/chpasswd.c: ENABLE_FEATURE_BUFFERS_GO_IN_BSS...
Checking loginutils/chpasswd.c: ENABLE_FEATURE_BUFFERS_GO_ON_STACK...
Checking loginutils/chpasswd.c: ENABLE_FEATURE_CHECK_NAMES...
Checking loginutils/chpasswd.c: ENABLE_FEATURE_DEVFS...
Checking loginutils/chpasswd.c: ENABLE_FEATURE_EDITING...
Checking loginutils/chpasswd.c: ENABLE_FEATURE_EDITING;ENABLE_FEATURE_EDITING_SAVEHISTORY...
Checking loginutils/chpasswd.c: ENABLE_FEATURE_EDITING;ENABLE_FEATURE_EDITING_SAVE_ON_EXIT...
Checking loginutils/chpasswd.c: ENABLE_FEATURE_HWIB...
Checking loginutils/chpasswd.c: ENABLE_FEATURE_INDIVIDUAL...
Checking loginutils/chpasswd.c: ENABLE_FEATURE_IPV6...
Checking loginutils/chpasswd.c: ENABLE_FEATURE_PREFER_APPLETS...
Checking loginutils/chpasswd.c: ENABLE_FEATURE_PS_ADDITIONAL_COLUMNS...
Checking loginutils/chpasswd.c: ENABLE_FEATURE_SHADOWPASSWDS...
Checking loginutils/chpasswd.c: ENABLE_FEATURE_SHADOWPASSWDS;ENABLE_USE_BB_SHADOW...
Checking loginutils/chpasswd.c: ENABLE_FEATURE_TOPMEM...
Checking loginutils/chpasswd.c: ENABLE_FEATURE_TOP_SMP_PROCESS...
Checking loginutils/chpasswd.c: ENABLE_FEATURE_UTMP...
Checking loginutils/chpasswd.c: ENABLE_FEATURE_UTMP;_PATH_UTMP...
Checking loginutils/chpasswd.c: ENABLE_FEATURE_UTMP;__UCLIBC_HAS_UTMPX__;__UCLIBC__...
Checking loginutils/chpasswd.c: ENABLE_FEATURE_UTMP;__UCLIBC__...
Checking loginutils/chpasswd.c: ENABLE_IOCTL_HEX2STR_ERROR...
Checking loginutils/chpasswd.c: ENABLE_LFS...
Checking loginutils/chpasswd.c: ENABLE_LOCALE_SUPPORT...
Checking loginutils/chpasswd.c: ENABLE_LONG_OPTS...
Checking loginutils/chpasswd.c: ENABLE_ROUTE...
Checking loginutils/chpasswd.c: ENABLE_SELINUX...
Checking loginutils/chpasswd.c: ENABLE_USE_BB_PWD_GRP...
Checking loginutils/chpasswd.c: HAVE_MNTENT_H...
Checking loginutils/chpasswd.c: HAVE_PRINTF_PERCENTM...
Checking loginutils/chpasswd.c: HAVE_SYS_STATFS_H...
Checking loginutils/chpasswd.c: HAVE_UNLOCKED_LINE_OPS...
Checking loginutils/chpasswd.c: HAVE_UNLOCKED_STDIO...
Checking loginutils/chpasswd.c: TASK_COMM_LEN...
Checking loginutils/chpasswd.c: UINT_MAX=0xffffffff...
Checking loginutils/chpasswd.c: UNUSED_FOR_NOW...
Checking loginutils/chpasswd.c: WANT_PIDFILE...
Checking loginutils/chpasswd.c: _BYTE_ORDER...
Checking loginutils/chpasswd.c: _NEWLIB_VERSION;__BIONIC__;__GLIBC__;__UCLIBC__;__dietlibc__...
Checking loginutils/chpasswd.c: _SC_ARG_MAX...
Checking loginutils/chpasswd.c: __386__...
Checking loginutils/chpasswd.c: __APPLE__...
Checking loginutils/chpasswd.c: __APPLE__;__FreeBSD__;__NetBSD__;__OpenBSD__...
Checking loginutils/chpasswd.c: __APPLE__;__NetBSD__;__OpenBSD__;__digital__;__unix__...
Checking loginutils/chpasswd.c: __BYTE_ORDER...
Checking loginutils/chpasswd.c: __CYGWIN__...
Checking loginutils/chpasswd.c: __FreeBSD__...
Checking loginutils/chpasswd.c: __FreeBSD__;__OpenBSD__...
Checking loginutils/chpasswd.c: __FreeBSD_kernel__...
Checking loginutils/chpasswd.c: __GLIBC__...
Checking loginutils/chpasswd.c: __GNUC_MINOR__;__GNUC__...
Checking loginutils/chpasswd.c: __GNU__...
Checking loginutils/chpasswd.c: __NetBSD__...
Checking loginutils/chpasswd.c: __STDC_VERSION__...
Checking loginutils/chpasswd.c: __UCLIBC__...
Checking loginutils/chpasswd.c: __WATCOMC__...
Checking loginutils/chpasswd.c: __cris__;__mips__;__x86_64__;i386...
Checking loginutils/chpasswd.c: __dietlibc__...
Checking loginutils/chpasswd.c: __digital__;__unix__...
Checking loginutils/chpasswd.c: __linux__...
Checking loginutils/chpasswd.c: __powerpc__;__x86_64__;i386...
Checking loginutils/chpasswd.c: i386...
processing ./loginutils/login.c
cli_file /mnt/scratch/paul/varbugs/output/busybox_1_28_0/368.config/loginutils/login.c.cli
Checking loginutils/login.c ...
Checking loginutils/login.c: AF_NETLINK...
Checking loginutils/login.c: AF_PACKET...
Checking loginutils/login.c: ANDROID;__ANDROID__...
Checking loginutils/login.c: ARG_MAX...
Checking loginutils/login.c: BB_MMU...
Checking loginutils/login.c: BYTE_ORDER...
Checking loginutils/login.c: CONFIG_FEATURE_EDITING_HISTORY;ENABLE_FEATURE_EDITING...
Checking loginutils/login.c: DMALLOC...
Checking loginutils/login.c: ENABLE_DESKTOP...
Checking loginutils/login.c: ENABLE_FEATURE_BUFFERS_GO_IN_BSS...
Checking loginutils/login.c: ENABLE_FEATURE_BUFFERS_GO_ON_STACK...
Checking loginutils/login.c: ENABLE_FEATURE_CHECK_NAMES...
Checking loginutils/login.c: ENABLE_FEATURE_DEVFS...
Checking loginutils/login.c: ENABLE_FEATURE_EDITING...
Checking loginutils/login.c: ENABLE_FEATURE_EDITING;ENABLE_FEATURE_EDITING_SAVEHISTORY...
Checking loginutils/login.c: ENABLE_FEATURE_EDITING;ENABLE_FEATURE_EDITING_SAVE_ON_EXIT...
Checking loginutils/login.c: ENABLE_FEATURE_HWIB...
Checking loginutils/login.c: ENABLE_FEATURE_INDIVIDUAL...
Checking loginutils/login.c: ENABLE_FEATURE_IPV6...
Checking loginutils/login.c: ENABLE_FEATURE_NOLOGIN...
Checking loginutils/login.c: ENABLE_FEATURE_PREFER_APPLETS...
Checking loginutils/login.c: ENABLE_FEATURE_PS_ADDITIONAL_COLUMNS...
Checking loginutils/login.c: ENABLE_FEATURE_SHADOWPASSWDS...
Checking loginutils/login.c: ENABLE_FEATURE_SHADOWPASSWDS;ENABLE_USE_BB_SHADOW...
Checking loginutils/login.c: ENABLE_FEATURE_TOPMEM...
Checking loginutils/login.c: ENABLE_FEATURE_TOP_SMP_PROCESS...
Checking loginutils/login.c: ENABLE_FEATURE_UTMP...
Checking loginutils/login.c: ENABLE_FEATURE_UTMP;_PATH_UTMP...
Checking loginutils/login.c: ENABLE_FEATURE_UTMP;__UCLIBC_HAS_UTMPX__;__UCLIBC__...
Checking loginutils/login.c: ENABLE_FEATURE_UTMP;__UCLIBC__...
Checking loginutils/login.c: ENABLE_IOCTL_HEX2STR_ERROR...
Checking loginutils/login.c: ENABLE_LFS...
Checking loginutils/login.c: ENABLE_LOCALE_SUPPORT...
Checking loginutils/login.c: ENABLE_LOGIN_SCRIPTS...
Checking loginutils/login.c: ENABLE_LOGIN_SESSION_AS_CHILD...
Checking loginutils/login.c: ENABLE_LONG_OPTS...
Checking loginutils/login.c: ENABLE_PAM...
Checking loginutils/login.c: ENABLE_ROUTE...
Checking loginutils/login.c: ENABLE_SELINUX...
Checking loginutils/login.c: ENABLE_USE_BB_PWD_GRP...
Checking loginutils/login.c: HAVE_MNTENT_H...
Checking loginutils/login.c: HAVE_PRINTF_PERCENTM...
Checking loginutils/login.c: HAVE_SYS_STATFS_H...
Checking loginutils/login.c: HAVE_UNLOCKED_LINE_OPS...
Checking loginutils/login.c: HAVE_UNLOCKED_STDIO...
Checking loginutils/login.c: TASK_COMM_LEN...
Checking loginutils/login.c: UINT_MAX=0xffffffff...
Checking loginutils/login.c: UNUSED_FOR_NOW...
Checking loginutils/login.c: WANT_PIDFILE...
Checking loginutils/login.c: _BYTE_ORDER...
Checking loginutils/login.c: _NEWLIB_VERSION;__BIONIC__;__GLIBC__;__UCLIBC__;__dietlibc__...
Checking loginutils/login.c: _SC_ARG_MAX...
Checking loginutils/login.c: __386__...
[loginutils/login.c:327]: (error) Uninitialized variable: opt_user
Checking loginutils/login.c: __APPLE__...
Checking loginutils/login.c: __APPLE__;__FreeBSD__;__NetBSD__;__OpenBSD__...
Checking loginutils/login.c: __APPLE__;__NetBSD__;__OpenBSD__;__digital__;__unix__...
Checking loginutils/login.c: __BYTE_ORDER...
Checking loginutils/login.c: __CYGWIN__...
Checking loginutils/login.c: __FreeBSD__...
Checking loginutils/login.c: __FreeBSD__;__OpenBSD__...
Checking loginutils/login.c: __FreeBSD_kernel__...
Checking loginutils/login.c: __GLIBC__...
Checking loginutils/login.c: __GNUC_MINOR__;__GNUC__...
Checking loginutils/login.c: __GNU__...
Checking loginutils/login.c: __NetBSD__...
Checking loginutils/login.c: __STDC_VERSION__...
Checking loginutils/login.c: __UCLIBC__...
Checking loginutils/login.c: __WATCOMC__...
Checking loginutils/login.c: __cris__;__mips__;__x86_64__;i386...
Checking loginutils/login.c: __dietlibc__...
Checking loginutils/login.c: __digital__;__unix__...
Checking loginutils/login.c: __linux__...
Checking loginutils/login.c: __powerpc__;__x86_64__;i386...
Checking loginutils/login.c: i386...
processing ./loginutils/su.c
cli_file /mnt/scratch/paul/varbugs/output/busybox_1_28_0/368.config/loginutils/su.c.cli
Checking loginutils/su.c ...
Checking loginutils/su.c: AF_NETLINK...
Checking loginutils/su.c: AF_PACKET...
Checking loginutils/su.c: ANDROID;__ANDROID__...
Checking loginutils/su.c: ARG_MAX...
Checking loginutils/su.c: BB_MMU...
Checking loginutils/su.c: BYTE_ORDER...
Checking loginutils/su.c: CONFIG_FEATURE_EDITING_HISTORY;ENABLE_FEATURE_EDITING...
Checking loginutils/su.c: DMALLOC...
Checking loginutils/su.c: ENABLE_DESKTOP...
Checking loginutils/su.c: ENABLE_FEATURE_BUFFERS_GO_IN_BSS...
Checking loginutils/su.c: ENABLE_FEATURE_BUFFERS_GO_ON_STACK...
Checking loginutils/su.c: ENABLE_FEATURE_CHECK_NAMES...
Checking loginutils/su.c: ENABLE_FEATURE_DEVFS...
Checking loginutils/su.c: ENABLE_FEATURE_EDITING...
Checking loginutils/su.c: ENABLE_FEATURE_EDITING;ENABLE_FEATURE_EDITING_SAVEHISTORY...
Checking loginutils/su.c: ENABLE_FEATURE_EDITING;ENABLE_FEATURE_EDITING_SAVE_ON_EXIT...
Checking loginutils/su.c: ENABLE_FEATURE_HWIB...
Checking loginutils/su.c: ENABLE_FEATURE_INDIVIDUAL...
Checking loginutils/su.c: ENABLE_FEATURE_IPV6...
Checking loginutils/su.c: ENABLE_FEATURE_PREFER_APPLETS...
Checking loginutils/su.c: ENABLE_FEATURE_PS_ADDITIONAL_COLUMNS...
Checking loginutils/su.c: ENABLE_FEATURE_SHADOWPASSWDS...
Checking loginutils/su.c: ENABLE_FEATURE_SHADOWPASSWDS;ENABLE_USE_BB_SHADOW...
Checking loginutils/su.c: ENABLE_FEATURE_SU_CHECKS_SHELLS...
Checking loginutils/su.c: ENABLE_FEATURE_TOPMEM...
Checking loginutils/su.c: ENABLE_FEATURE_TOP_SMP_PROCESS...
Checking loginutils/su.c: ENABLE_FEATURE_UTMP...
Checking loginutils/su.c: ENABLE_FEATURE_UTMP;_PATH_UTMP...
Checking loginutils/su.c: ENABLE_FEATURE_UTMP;__UCLIBC_HAS_UTMPX__;__UCLIBC__...
Checking loginutils/su.c: ENABLE_FEATURE_UTMP;__UCLIBC__...
Checking loginutils/su.c: ENABLE_IOCTL_HEX2STR_ERROR...
Checking loginutils/su.c: ENABLE_LFS...
Checking loginutils/su.c: ENABLE_LOCALE_SUPPORT...
Checking loginutils/su.c: ENABLE_LONG_OPTS...
Checking loginutils/su.c: ENABLE_ROUTE...
Checking loginutils/su.c: ENABLE_SELINUX...
Checking loginutils/su.c: ENABLE_USE_BB_PWD_GRP...
Checking loginutils/su.c: HAVE_MNTENT_H...
Checking loginutils/su.c: HAVE_PRINTF_PERCENTM...
Checking loginutils/su.c: HAVE_SYS_STATFS_H...
