hash,verdict,type,file,line,message,,reasoning,features
5c3ec1242ac6dedb3bf72a0510fbadde,False,Memory Leak,toys/posix/sed.c,671,"memory dynamically allocated to `return` by call to `xmalloc()` at line 668, column 16 is not reachable after line 671, column 17.",,,
49ed07fdf527e5ce17a20bbe65052285,False,Memory Leak,toys/posix/sed.c,694,"memory dynamically allocated to `return` by call to `xmalloc()` at line 668, column 16 is not reachable after line 694, column 21.",,,
8cb8c5be167bd074415c768b404b38ef,False,Uninitialized Value,toys/posix/od.c,85,The value read from fdl.d was never initialized.,,,
be99ebfe883a0ebf037a4e7a64dfdde4,False,Uninitialized Value,toys/posix/od.c,82,The value read from fdl.f was never initialized.,,,
75a855e09651ce801d93f434125f92b1,False,Uninitialized Value,toys/posix/od.c,88,The value read from fdl.ld was never initialized.,,,
045003c1a9219f5270daad3c63c2b275,False,Uninitialized Value,toys/posix/od.c,92,The value read from ld was never initialized.,,,
4451cbee610ef0a746fc3d60a01dc63c,False,Uninitialized Value,toys/android/setenforce.c,30,The value read from state was never initialized.,,,
fff5278e0ad9b62e11f0c31292f3cf1b,True,Memory Leak,toys/other/mountpoint.c,53,"memory dynamically allocated by call to `xmprintf()` at line 51, column 9 is not reachable after line 53, column 7.",,,
bd4ca4f7221b23c5de7b75d62e6b2ab9,False,Uninitialized Value,toys/other/modinfo.c,72,The value read from len was never initialized.,,,
04d6a427df96cff687b61e9a0e1a6bea,True,Resource Leak,toys/other/oneit.c,72,"resource acquired by call to `xopen_stdio()` at line 72, column 12 is not released after line 72, column 12.",,,
f6b2a11f76075c6296d03cc4222e2259,True,Resource Leak,toys/other/oneit.c,73,"resource acquired by call to `xopen_stdio()` at line 72, column 12 is not released after line 73, column 5.",,,
