hash,verdict,type,file,line,message,reasoning,features
83f130759c01660f70ecbbb4adadbe97,FALSE,Uninitialized Value,toys/net/ftpget.c,203,The value read from port was never initialized.,,
2030eeca9918134226a28d6794de3475,FALSE,Uninitialized Value,toys/net/ftpget.c,151,The value read from si6.sin6_family was never initialized.,,
66a332c801db604e34c27be7fcd2f20c,FALSE,Uninitialized Value,toys/posix/ls.c,349,The value read from dtlen was never initialized.,,
3d9551e5afb767952a46d5f2de8600d7,FALSE,Uninitialized Value,toys/posix/ls.c,369,The value read from dtlen was never initialized.,,
4914f2d4f400c7a22a8df649aa8bfdf8,FALSE,Uninitialized Value,toys/posix/ls.c,377,The value read from dtlen was never initialized.,,
c87e16151ec7f030d97b389b3ccdb2b0,FALSE,Uninitialized Value,toys/posix/ls.c,397,The value read from dtlen was never initialized.,,
1f2a6b7d43f8134ada9231d7529eddd5,FALSE,Uninitialized Value,toys/posix/ls.c,424,The value read from totals[_] was never initialized.,,
12bece923ad921270067e7d9e3a3c2ac,FALSE,Uninitialized Value,toys/posix/ls.c,428,The value read from totals[_] was never initialized.,,
f67318c8d484ce72f89b6c5fd5eacaae,FALSE,Uninitialized Value,toys/posix/ls.c,479,The value read from totals[_] was never initialized.,,
5c3ec1242ac6dedb3bf72a0510fbadde,FALSE,Memory Leak,toys/posix/sed.c,671,"memory dynamically allocated to `return` by call to `xmalloc()` at line 668, column 16 is not reachable after line 671, column 17.",,
49ed07fdf527e5ce17a20bbe65052285,FALSE,Memory Leak,toys/posix/sed.c,694,"memory dynamically allocated to `return` by call to `xmalloc()` at line 668, column 16 is not reachable after line 694, column 21.",,
8cb8c5be167bd074415c768b404b38ef,FALSE,Uninitialized Value,toys/posix/od.c,85,The value read from fdl.d was never initialized.,,
be99ebfe883a0ebf037a4e7a64dfdde4,FALSE,Uninitialized Value,toys/posix/od.c,82,The value read from fdl.f was never initialized.,,
75a855e09651ce801d93f434125f92b1,FALSE,Uninitialized Value,toys/posix/od.c,88,The value read from fdl.ld was never initialized.,,
045003c1a9219f5270daad3c63c2b275,FALSE,Uninitialized Value,toys/posix/od.c,92,The value read from ld was never initialized.,,
4451cbee610ef0a746fc3d60a01dc63c,FALSE,Uninitialized Value,toys/android/setenforce.c,30,The value read from state was never initialized.,,
bd4ca4f7221b23c5de7b75d62e6b2ab9,FALSE,Uninitialized Value,toys/other/modinfo.c,72,The value read from len was never initialized.,,
9e552ffde24e092a68a9402f43fcf020,TRUE,Resource Leak,toys/posix/nohup.c,27,"resource acquired by call to `open()` at line 27, column 15 is not released after line 27, column 9.","The file descriptor opened cannot be closed, as the whole point is to redirect stdin and stdout and then run a command elsewhere. This is not a bug, but at the same time infer is not wrong that there is an open file descriptor that is not being closed. Other bugs which involve open resources that are not closed but are meant to stay open are listed below.",CONFIG_NOHUP
01c76e0bb9d35d939d43a1028a9dd9ac,TRUE,Resource Leak,toys/posix/nohup.c,39,"resource acquired by call to `xopen_stdio()` at line 39, column 5 is not released after line 39, column 5.","The file descriptor opened cannot be closed, as the whole point is to redirect stdin and stdout and then run a command elsewhere. This is not a bug, but at the same time infer is not wrong that there is an open file descriptor that is not being closed. Other bugs which involve open resources that are not closed but are meant to stay open are listed below.",CONFIG_NOHUP
696aeec43c6284e8bd25869ad9d0cf51,TRUE,Null Dereference,toys/other/uptime.c,54,"pointer `tm` last assigned on line 53 could be null and is dereferenced at line 54, column 34.","localtime may fail and return a null pointer, causing tm to be null",CONFIG_UPTIME
8c55545e7e82f061034ad6d4b6140410,TRUE,Null Dereference,scripts/mkflags.c,126,"pointer `new` last assigned on line 124 could be null and is dereferenced at line 126, column 7.","calloc can fail, leaving new as a null pointer. Although this is true, it�s not particularly interesting, as calloc very rarely fails.�",generic
f632dfa9f5e23910b89e4f6e8278dd37,TRUE,Null Dereference,scripts/mkflags.c,92,"pointer `new` last assigned on line 90 could be null and is dereferenced at line 92, column 7.","calloc can fail, leaving new as a null pointer. Although this is true, it�s not particularly interesting, as calloc very rarely fails.�",generic
8e1f1948781a4f34a44359b50a3fc061,TRUE,Resource Leak,lib/lib.c,625,"resource acquired by call to `open()` at line 625, column 31 is not released after line 625, column 17.","If O CLOEXEC is passed to loopfiles rw, then fd is closed. If O CLOEXEC is not passed to loopfiles rw, then whatever function is passed to loopfiles rw must close fd itself. Of the three calls in toybox to loopfiles rw which does not pass O CLOEXEC, the call in paste.c does not close fd itself.",generic
f3234bcffd1116814edd65b5fc58651a,TRUE,Memory Leak,lib/lib.c,1257,"`pw` is not reachable after line 1257, column 3.",The same explanation for lib.c:1264 applies here,generic
55cc05beebe9c456a02bbaa105971729,TRUE,Memory Leak,lib/lib.c,1268,"`gr` is not reachable after line 1268, column 3.","The call to bufgetgrgid initializes overwrites the list pointer with pointer to new memory without freeing the memory it pointed to initially. Although the buffer is meant to last past the end of the function, the memory is orphaned each time list is reassigned",generic
fff5278e0ad9b62e11f0c31292f3cf1b,TRUE,Memory Leak,toys/other/mountpoint.c,53,"memory dynamically allocated by call to `xmprintf()` at line 51, column 9 is not reachable after line 53, column 7.","From the Toybox configuration documentation (Config.in): �When a program exits, the operating system will clean up after it (free memory, close files, etc). To save size, toybox usually relies on this behavior. If you�re running toybox under a debugger or without a real OS (ala newlib+libgloss), enable this to make toybox clean up after itself.� If TOYBOX FREE is not enabled (and by default, it isn�t), the memory allocated by xmprintf will not be freed explictly, and instead will be left open until the program terminates so the operating system can clean it up. This makes classifying this bug tricky. This is obviously a memory leak in the default case, as memory that is being allocated is not being freed; however, it seems that this is an intentional choice by the programmers. For now, this seems to fall nicely under the technically true class, but this could warrant a discussion on how exactly we�re classifying what a bug is.","CONFIG_MOUNTPOINT, -CONFIG_TOYBOX_FREE"
04d6a427df96cff687b61e9a0e1a6bea,TRUE,Resource Leak,toys/other/oneit.c,72,"resource acquired by call to `xopen_stdio()` at line 72, column 12 is not released after line 72, column 12.",,CONFIG_ONEIT
f6b2a11f76075c6296d03cc4222e2259,TRUE,Resource Leak,toys/other/oneit.c,73,"resource acquired by call to `xopen_stdio()` at line 72, column 12 is not released after line 73, column 5.",,CONFIG_ONEIT
