hash,verdict,type,file,line,message,,reasoning,features
ba4d42765bb6954435c49e98db2af8e4,TRUE,Null Dereference,ssl/asn1.c,457,"pointer `*str` last assigned on line 454 could be null and is dereferenced at line 457, column 13.",,malloc can fail,generic
778deb2faa85887d3fd34a2ccbb44fb5,TRUE,Null Dereference,ssl/asn1.c,459,"pointer `*str` last assigned on line 454 could be null and is dereferenced at line 459, column 9.",,malloc can fail,generic
a80acd6dc7ee126dd900a1c57c3bb0f7,TRUE,Null Dereference,ssl/asn1.c,464,"pointer `*str` last assigned on line 463 could be null and is dereferenced by call to `memcpy()` at line 464, column 9.",,malloc can fail,generic
8bdb4377b019dc1e4493d526d66f4bd6,TRUE,Null Dereference,httpd/axhttpd.c,479,"pointer `cp` last assigned on line 469 could be null and is dereferenced by call to `strchr()` at line 479, column 19.",,strdup can fail,"AXHTTPD, !CONFIG_PLATFORM_WIN32, HTTP_HAS_CGI"
7f8122247189fdb39138ff3ab501a6cf,TRUE,Null Dereference,httpd/axhttpd.c,476,"pointer `ex` last assigned on line 474 could be null and is dereferenced at line 476, column 9.",,malloc can fail,"AXHTTPD, !CONFIG_PLATFORM_WIN32, HTTP_HAS_CGI"
8e5cd4b20ed57c627cd7d7c751cee453,TRUE,Null Dereference,httpd/axhttpd.c,489,"pointer `tp` last assigned on line 487 could be null and is dereferenced at line 489, column 5.",,calloc can fail,AXHTTPD
edfead75512c567e3b9f10469e6ebef6,FALSE,Uninitialized Value,httpd/proc.c,633,The value read from spipe[_] was never initialized.,,"spipe is initialized by a call to pipe(), and verified",
ba39e6e3b77147bacf4ec72b49c9300c,FALSE,Uninitialized Value,httpd/proc.c,640,The value read from spipe[_] was never initialized.,,"spipe is initialized by a call to pipe(), and verified",
e80a19a54aa02e8c18f3678f821975f9,FALSE,Uninitialized Value,httpd/proc.c,641,The value read from spipe[_] was never initialized.,,"spipe is initialized by a call to pipe(), and verified",
5124fab2080a47e1ef9393a9095653a6,FALSE,Uninitialized Value,httpd/proc.c,669,The value read from spipe[_] was never initialized.,,"spipe is initialized by a call to pipe(), and verified",
18b23e83cd99809f7177c2bbba4a1015,FALSE,Uninitialized Value,httpd/proc.c,670,The value read from spipe[_] was never initialized.,,"spipe is initialized by a call to pipe(), and verified",
834bd93678058a42ebe5a0b55ea85d61,FALSE,Uninitialized Value,httpd/proc.c,671,The value read from spipe[_] was never initialized.,,"spipe is initialized by a call to pipe(), and verified",
a21efa458e2f94f378f001b1f1e89cac,TRUE,Null Dereference,httpd/axhttpd.c,614,"pointer `tp` last assigned on line 606 could be null and is dereferenced at line 614, column 5.",,calloc can fail,AXHTTPD
5cc420a679276ea1629ffdcef11078e1,TRUE,Null Dereference,ssl/t1ls1.c,609,"pointer `ssl` last assigned on line 608 could be null and is dereferenced at line 609, column 5.",,calloc can fail,generic
6c2f2025fb485e672ece97ec59ee7e6d,TRUE,Null Dereference,crypto/bigint.c,627,"pointer `biR->comps` last assigned on line 624 could be null and is dereferenced by call to `memset()` at line 627, column 5.",,alloc can fail,generic
5d7f1dc510943cf5647dea318f501d69,TRUE,Null Dereference,crypto/bigint.c,826,"pointer `biR->comps` last assigned on line 817 could be null and is dereferenced by call to `memset()` at line 826, column 5.",,alloc can fail,generic
386931492218e0b5abd08388797f2f2d,TRUE,Null Dereference,crypto/bigint.c,1112,"pointer `biR` last assigned on line 1111 could be null and is dereferenced at line 1112, column 9.",,malloc can fail,generic
14b728eb44839fdac938304f64e664ae,TRUE,Null Dereference,crypto/bigint.c,1373,"pointer `ctx->g` last assigned on line 1372 could be null and is dereferenced at line 1373, column 5.",,malloc can fail,BIGINT_SLIDING_WINDOW
16c622654c62f0caffe9e5d5c8c02544,TRUE,Null Dereference,crypto/bigint.c,1319,"pointer `ctx->g` last assigned on line 1318 could be null and is dereferenced at line 1319, column 5.",,malloc can fail,BIGINT_SLIDING_WINDOW
650f04faaf217f6028172d146f3c14ad,FALSE,Memory Leak,ssl/loader.c,330,"memory dynamically allocated by call to `calloc()` at line 322, column 43 is not reachable after line 330, column 25.",,ssl_obj is freed by all paths,
d4bed22f8ee54d51964af959807ea2aa,TRUE,Null Dereference,ssl/loader.c,406,"pointer `ssl_obj->buf` last assigned on line 405 could be null and is dereferenced at line 406, column 5.",,realloc can fail,SSL_HAS_PEM
283d62a9721ddad057f4236b531114c9,TRUE,Memory Leak,httpd/htpasswd.c,135,"memory dynamically allocated by call to `strdup()` at line 116, column 10 is not reachable after line 135, column 5.",,pw is not freed,"AXHTTPD, HTTP_HAS_AUTHORIZATION"
018935efdb38233fa421c595164c7d92,TRUE,Null Dereference,httpd/htpasswd.c,117,"pointer `pw` last assigned on line 116 could be null and is dereferenced by call to `strcmp()` at line 117, column 9.",,strdup can fail,"AXHTTPD, HTTP_HAS_AUTHORIZATION"
